family_key,canonical_name,aliases,cluster,eligibility_status,scope_fit,task_types,modality,release_span,public_asset_state,license,persistent_id,primary_url,evidence_grade,source_count,source_flags,verification_note
tir_rgb_uav,TIR-RGB-UAV Part 2,,B,include,in_scope,detection; segmentation,paired UAV thermal-RGB,2026,primary_record_verified,CC BY-NC 4.0,10.57760/sciencedb.28093,https://doi.org/10.57760/sciencedb.28093,Q2,1,S3_grok,"DataCite says 2026, correcting the report's 2025 date."
tufseg,TUFSeg,,B,include,in_scope,façade thermal segmentation,paired RGB-thermal,2024,primary_record_verified,CC BY 4.0,10.5281/zenodo.10814413,https://zenodo.org/records/10814413,Q2,1,S3_grok,Zenodo record verified; relationship to other thermal-façade acquisitions requires Q3 hash check.
winleak,WinLeak,,B,include,in_scope,segmentation; leakage localization,paired RGB-thermal,2025,paper_and_release_claim_verified,,10.1145/3736425.3770112,https://doi.org/10.1145/3736425.3770112,Q2,2,S1_local;S3_grok,Building-window air-leakage data; verify exact file-level license during DRRL.
archx_3m,3M / ArCHX,,C,provisional,boundary_review,semantic segmentation,UAV photogrammetric point cloud,2025,source_report_only,,,,Q1,1,S1_local,Family name and distribution relationship require primary-source resolution.
ahn_cd,AHN-CD,Actueel Hoogtebestand Nederland Change Detection,C,provisional,boundary_review,point cloud change detection / semantic,multi-temporal ALS,~2024,reported_active,unknown,,,Q1,1,S2_local,entry not verified
campus3d,Campus3D,,C,include,in_scope,point cloud semantic segmentation (hierarchical),UAV photogrammetry point cloud (RGB),2020,reported_active,see page,,https://3d.nus.app/,Q1,1,S2_local,documented public dataset
city_facade,City-Facade,,C,include,in_scope,façade semantic segmentation,3D point cloud,2026,paper_identity_verified,,10.1016/j.isprsjprs.2026.01.003,https://doi.org/10.1016/j.isprsjprs.2026.01.003,Q2,1,S3_grok,Paper identity verified; public data package still needs DRRL probe.
cus3d,CUS3D,,C,provisional,boundary_review,semantic segmentation,point cloud; mesh; 2D imagery,2024,source_report_only,,,,Q1,1,S1_local,Public benchmark claimed; official distribution asset not rechecked.
dales,DALES,,C,include,in_scope,point cloud semantic segmentation,ALS point cloud,2020,reported_active,see page,,https://udayton.edu/engineering/research/centers/vision_lab/research/was_data_analysis_and_processing/dales.php,Q1,1,S2_local,documented public dataset
dublincity,DublinCity,,C,include,in_scope,point cloud semantic segmentation,ALS point cloud,2019,reported_active,see page,,,Q1,1,S2_local,documented in comparison tables; entry pending
eclair,ECLAIR,,C,provisional,boundary_review,point cloud semantic segmentation,ALS point cloud,2024,reported_active,unknown,,,Q1,1,S2_local,entry not verified
estate,ESTATE,,C,provisional,boundary_review,urban point-cloud segmentation,3D point cloud,,source_report_only,,,,Q1,1,S3_grok,Acronym collision and public distribution require primary-source resolution.
fractal,FRACTAL,,C,include,in_scope,point cloud semantic segmentation,"ALS point cloud (RGB, intensity)",2024,reported_active,see page,,https://fractal.ipf.fr/,Q1/Q2,1,S2_local,documented public dataset
hessigheim_3d,Hessigheim 3D,H3D,C,include,in_scope,point cloud semantic segmentation,"ULS point cloud (RGB, intensity), multi-epoch",2021,reported_active,see page,,https://ifpwww.ifp.uni-stuttgart.de/benchmark/hessigheim/,Q1/Q2,1,S2_local,public benchmark
hrhd_hk,HRHD-HK,,C,provisional,boundary_review,semantic segmentation,photogrammetric point cloud,2023,source_report_only,,,,Q1,1,S1_local,Benchmark is described in a paper; distribution asset not rechecked.
nyc_scd,NYC-SCD,,C,provisional,boundary_review,semantic change detection,multi-temporal point cloud,2025,reported_active,unknown,,,Q2,1,S2_local,release claimed; entry not located
opentrench3d,OpenTrench3D,,C,include,in_scope,semantic segmentation,photogrammetric point cloud,2024,reported_active,,,,Q2,1,S1_local,Underground-utility trench scenes fit infrastructure point-cloud scope.
oxford_masonry_arch_bridge_point_clouds,Oxford masonry arch bridge point clouds,BridgeNet dataset,C,inventory_only,in_scope_no_public_asset,semantic/instance segmentation; geometric parameter extraction,laser scan point clouds + synthetic counterparts,2022,not_located,unknown,10.1016/j.autcon.2022.104459,,Q2,1,S2_local,dataset used in paper; no distributable release found
paris_lille_3d,Paris-Lille-3D,PL3D,C,include,in_scope,point cloud semantic segmentation,MLS point cloud,2018,reported_active,CC BY-NC-ND 3.0,10.1177/0278364918767506,https://npm3d.fr/paris-lille-3d,Q2,2,S1_local;S2_local,verified license and access
paris_rue_madame,Paris-rue-Madame,,C,include,in_scope,point cloud semantic segmentation,MLS point cloud,2014,reported_active,see site,,https://npm3d.fr/paris-rue-madame,Q1/Q2,1,S2_local,public via npm3d suite
pc_urban,PC-Urban,,C,include,in_scope,urban point-cloud segmentation,3D point cloud,,primary_record_verified,CC BY 4.0,10.21227/fvqd-k603,https://doi.org/10.21227/fvqd-k603,Q2,1,S3_grok,IEEE DataPort/DataCite identity and license verified.
rohbau3d,Rohbau3D,Rohbau3D-Semantics,C,include,in_scope,semantic segmentation; instance segmentation,TLS point cloud,2025; semantics extension current,primary_record_and_repo_verified,MIT repository; dataset terms to verify,10.1038/s41597-025-05827-7,https://github.com/RauchLukas/Rohbau3D,Q2,1,S4_gemini,504 scans across 14 sites; placeholder Zenodo DOI in Gemini is invalid.
semantic3d,Semantic3D,semantic3d.net,C,include,in_scope,point cloud semantic segmentation,TLS point cloud (RGB),2017,reported_active,see site,,http://www.semantic3d.net/,Q2,1,S2_local,established public benchmark
semanticbridge,SemanticBridge / Bridge3D,Bridge 3D segmentation dataset,C,provisional,boundary_review,point cloud semantic segmentation of bridge components,TLS (manual labels) + MLS (interpolated labels),2025,claimed_or_reported,unknown,arXiv:2512.15369,https://arxiv.org/abs/2512.15369,Q2,1,S2_local,Preprint identity verified; public release asset remains provisional.
semantic_kitti,SemanticKITTI,,C,provisional,boundary_review,point cloud semantic segmentation,vehicle-mounted 64-line LiDAR sequences,2019,reported_active,CC BY-NC-SA,,http://www.semantic-kitti.org/,Q2,1,S2_local,"Urban 3D perception benchmark, but driving-scene semantics weakly represent city physical examination."
semanticurban,SemanticUrban,,C,include,in_scope,urban point-cloud semantic segmentation,3D point cloud,2026,paper_identity_verified,,10.1016/j.eswa.2026.132949,https://doi.org/10.1016/j.eswa.2026.132949,Q2,1,S3_grok,Paper identity verified; data distribution needs file-level check.
sensaturban,SensatUrban,,C,include,in_scope,point cloud semantic segmentation,UAV photogrammetry point cloud (RGB),2020,reported_active,research agreement,,http://point-cloud-analysis.cs.ox.ac.uk/,Q2,3,S1_local;S2_local;S3_grok,public benchmark
slpccd,SLPCCD,,C,provisional,boundary_review,street-level point cloud change detection,street-level point cloud,2023,reported_active,unknown,,,Q1,1,S2_local,entry not verified
stpls3d,STPLS3D,,C,include,in_scope,point cloud semantic segmentation,aerial photogrammetry real + synthetic,2022,reported_active,see page,,https://stpls3d.github.io/,Q1/Q2,1,S2_local,public; mixed origin flagged
sum,SUM (Helsinki urban mesh),SUM; Helsinki 3D,C,provisional,boundary_review,semantic segmentation,aerial photogrammetry textured mesh,2021,reported_active,see page,,,Q1,1,S2_local,data-form dispute
sydney_urban_objects,Sydney Urban Objects,,C,include,in_scope,urban-object classification/detection,3D point cloud,2013,reported_active,,,,Q2,1,S3_grok,Reclassified from Grok's D to C because the released observations are 3D point clouds.
toronto_3d,Toronto-3D,,C,include,in_scope,point cloud semantic segmentation,"MLS point cloud (RGB, intensity, GPS time)",2020,claimed_or_reported,see page,,https://cloud.3dmapper.xyz/,Q2,3,S1_local;S2_local;S3_grok,documented public dataset; entry pending re-check
uns_geo,UNS Geo,,C,provisional,boundary_review,urban point-cloud segmentation,3D point cloud,,source_report_only,,,,Q1,1,S3_grok,Official asset and canonical title unresolved.
urb3dcd,Urb3DCD,Urb3DCD V1; Urb3DCD V2,C,include,in_scope,3D change detection; mono-date semantic segmentation (V2),simulated ALS point clouds,2021/2022,reported_active,DataPort open access,,https://ieee-dataport.org/open-access/urb3dcd-urban-point-clouds-simulated-dataset-3d-change-detection,Q2,1,S2_local,public; synthetic flagged
whu_infra3d,WHU-Infra3D,,C,provisional,boundary_review,infrastructure point-cloud segmentation,3D point cloud,2026,source_report_only,,arXiv:2606.09882,https://arxiv.org/abs/2606.09882,Q2,1,S3_grok,Preprint identity verified; distribution and license not yet verified.
whu_railway3d,WHU-Railway3D,,C,include,in_scope,semantic segmentation,railway MLS point cloud,2024,official_repository_verified,,10.1109/TITS.2024.3469546,https://github.com/WHU-USI3DV/WHU-Railway3D,Q2,1,S4_gemini,30 km total and about 4.6 billion points; Gemini's DOI placeholder is invalid.
whu_urban3d,WHU-Urban3D,,C,include,in_scope,semantic segmentation; instance segmentation; 3D detection,ALS and MLS point cloud,v1,official_portal_verified_registration_required,,,https://whu3d.com/dataset/,Q2,1,S4_gemini,Official portal reports 3.6 million m2 and more than 300 million points.
zaha,ZAHA façade point-cloud dataset,,C,include,in_scope,semantic segmentation,3D façade point cloud,2025,paper_identity_verified,,10.1109/WACV61041.2025.00743,https://doi.org/10.1109/WACV61041.2025.00743,Q2,1,S1_local,Distribution package still requires file-level DRRL verification.
apolloscape,ApolloScape,,D,provisional,boundary_review,semantic segmentation; lane; 3D car instance,2D vehicle-mounted,2018,reported_active,research agreement,,http://apolloscape.auto/,Q1/Q2,1,S2_local,entry status unresolved
bdd100k,BDD100K,,D,include,in_scope,detection; segmentation; lane marking,2D driving video frames,2018/2020,reported_active,research agreement,,https://bdd-data.berkeley.edu/,Q1/Q2,1,S2_local,documented public dataset
camvid,CamVid,Cambridge-driving Labeled Video Database,D,provisional,boundary_review,semantic segmentation,2D driving video frames,2007,claimed_or_reported,not restated on mirrors,,http://mi.eng.cam.ac.uk/research/projects/VideoRec/CamVid/ (defunct),Q1,1,S2_local,defunct official entry; reuse-blockage candidate for DRRL
cityscapes,Cityscapes,Cityscapes 3D,D,include,in_scope,semantic segmentation; instance segmentation; panoptic; 3D vehicle detection (extension),2D stereo street video frames,2016,reported_active,non-commercial license,,https://www.cityscapes-dataset.com/,Q2,3,S1_local;S2_local;S3_grok,verified license and access
gtsrb_gtsdb,GTSRB / GTSDB,German Traffic Sign Recognition/Detection Benchmark,D,include,in_scope,traffic sign classification (43); detection,2D RGB,2011/2013,reported_active,see page,,https://zenodo.org/records/13741936,Q2,1,S2_local,verified access
idd,IDD (India Driving Dataset),,D,include,in_scope,semantic segmentation,2D vehicle-mounted,2019,reported_active,research agreement,,https://idd.insaan.iiit.ac.in/,Q1,1,S2_local,documented public dataset
inria_aerial_image_labeling,Inria Aerial Image Labeling,,D,provisional,boundary_review,building binary segmentation,aerial orthoimagery 0.3m,2017,reported_active,see page,,https://project.inria.fr/aerialimagelabeling/,Q2,1,S2_local,remote-sensing scope dispute
mapillary_traffic_sign_dataset,Mapillary Traffic Sign Dataset,MTSD,D,provisional,boundary_review,traffic sign detection,2D street-level,2020,reported_active,research agreement,,https://www.mapillary.com/dataset/trafficsign,Q1,1,S2_local,access unverified
mapillary_vistas,Mapillary Vistas,,D,include,in_scope,semantic/instance/panoptic segmentation,2D street-level imagery,2017,reported_active,research agreement,,https://www.mapillary.com/dataset/vistas,Q2,3,S1_local;S2_local;S3_grok,documented public dataset
osv,Omnidirectional Street-View (OSV) Dataset,,D,include,in_scope,spherical object detection,panoramic RGB,2019,official_portal_verified,,,https://gpcv.whu.edu.cn/data/osv_page.html,Q2,1,S4_gemini,"Official page reports 5,636 objects; 1,777 refers to lights, not image count."
spacenet,SpaceNet,SpaceNet 1/2/6 etc.,D,provisional,boundary_review,building/road extraction,satellite imagery + vector labels,2016-,reported_active,CC,,https://spacenet.ai/,Q1/Q2,1,S2_local,remote-sensing scope dispute
tt100k,TT100K,Tsinghua-Tencent 100K,D,provisional,boundary_review,traffic sign detection/classification,2D street-view panoramas crops,2016,reported_active,research agreement,,https://cg.cs.tsinghua.edu.cn/traffic-sign/,Q1/Q2,2,S2_local;S3_grok,access unverified
urban_electrical_distribution,Urban Electrical Distribution Dataset,,D,provisional,boundary_review,electrical asset detection,2D RGB,,source_report_only,,,,Q1,1,S3_grok,Public release and license require primary verification.
urban_footpath,Urban Footpath Image Dataset,Crowd4Access,D,provisional,boundary_review,detection; segmentation,2D street-level RGB,2021,source_report_only,,,,Q1,1,S1_local,"Urban furniture/footpath fit is strong, but distribution entry remains unresolved."
urbanlf,UrbanLF,,D,provisional,boundary_review,urban asset detection; segmentation,2D street-level RGB,,source_report_only,,,,Q1,1,S3_grok,Official asset and exact canonical title unresolved.
whu_building,WHU Building Dataset family,WHU aerial building; satellite subdatasets; building change detection subdataset,D,provisional,boundary_review,building segmentation,aerial imagery 0.3m,2019,official_portal_verified,see page,,https://gpcv.whu.edu.cn/data/,Q2,2,S2_local;S4_gemini,"More than 1,400 km2 is the umbrella-family coverage; 8,188 tiles/~220k buildings describes the aerial Christchurch subdataset only."
whu_mix,WHU-Mix building dataset,,D,include,in_scope,building segmentation; polygon extraction,aerial/satellite RGB,raster; vector derivative,official_portal_verified,,,https://gpcv.whu.edu.cn/data/,Q2,1,S4_gemini,Gemini discusses this family but omits it from its own 15-row registry and count.
actgov,ACTGOV,,future_scope,future_scope,outside_current_visual_clusters,urban governance indicators,tabular,,source_report_only,,,,Q1,1,S3_grok,"Policy/context data, not a visual dataset under A-D."
bijie_landslide,Bijie Landslide Dataset,,future_scope,future_scope,outside_current_visual_tasks,landslide mapping,remote sensing,,source_report_only,,,,Q1,1,S4_gemini,"Disaster remote sensing, outside the current urban-asset/inspection clusters."
builtupunits,BuiltUpUnits,,future_scope,future_scope,outside_current_visual_clusters,urban morphology/GIS,geospatial vector/raster,,source_report_only,,,,Q1,1,S3_grok,Retained for later GIS extension; not scored under A-D.
cmab,CMAB,,future_scope,future_scope,outside_current_visual_clusters,urban assessment,GIS/tabular,,source_report_only,,,,Q1,1,S3_grok,Acronym identity needs clarification before any future-scope use.
gbss,GBSS,Global Building Semantic Segmentation,future_scope,future_scope,future_scope,building segmentation,satellite 0.25m,~2024,reported_active,unknown,,,Q1,1,S2_local,pure remote sensing; outside four clusters pending decision
ghs_ucdb,GHS-UCDB,,future_scope,future_scope,outside_current_visual_clusters,urban centre database,GIS/tabular,,source_report_only,,,,Q1,1,S3_grok,"Urban context source, not a visual inspection dataset under A-D."
maduo_earthquake_crack,Maduo Earthquake Crack Dataset,,future_scope,future_scope,outside_current_visual_tasks,earthquake crack detection,aerial remote sensing,,source_report_only,,,https://gpcv.whu.edu.cn/data/,Q2,1,S4_gemini,Official WHU portal verifies the dataset; retained outside A-D for now.
segfvg,SegFVG,,future_scope,future_scope,future_scope,building segmentation,aerial 0.1m,2025,reported_active,unknown,,,Q1,1,S2_local,pure remote sensing; outside four clusters pending decision
thermoscenes,ThermoScenes,,future_scope,future_scope,task_outside_current_protocol,thermal reconstruction; temperature estimation,RGB-thermal,2024,source_report_only,,,,Q1,1,S1_local,No classification/detection/segmentation target under the current Cluster B boundary.
whu_3dbie_solarpv,WHU 3DBIE-SolarPV,,future_scope,future_scope,outside_current_visual_tasks,solar-potential estimation,3D building/GIS,,source_report_only,,,https://github.com/WHU-USI3DV/3DBIE-SolarPV,Q2,1,S4_gemini,Related to urban renewal planning but not a current A-D perception task.
bikit,bikit Building Inspection Toolkit,,excluded,exclude,not_a_dataset,aggregation/toolkit,software/aggregator,2022,not_eligible,,,https://github.com/iarai/bikit,Q2,1,S1_local,"Data aggregation toolkit, not an independently acquired dataset family."
neu_surface_defect_dataset,NEU Surface Defect Dataset,NEU-SEG,excluded,exclude,out_of_scope_or_nonpublic,classification/detection,2D grayscale,2013,not_eligible,unknown,,,Q2,1,S2_local,"generic industrial product defects, unrelated to urban infrastructure"
severstal_steel_defect_detection,Severstal Steel Defect Detection,,excluded,exclude,out_of_scope_or_nonpublic,segmentation,2D,2019,not_eligible,competition rules,,https://www.kaggle.com/c/severstal-steel-defect-detection,Q2,1,S2_local,"industrial product defect, not urban infrastructure"
